Year,Population,Yearly Growth %,Number,Density (Pop/km2)
1951,"2,543,130,380",1.75%,"43,808,223",17
1952,"2,590,270,899",1.85%,"47,140,519",17
1953,"2,640,278,797",1.93%,"50,007,898",18
1954,"2,691,979,339",1.96%,"51,700,542",18
1955,"2,746,072,141",2.01%,"54,092,802",18
1956,"2,801,002,631",2.00%,"54,930,490",19
1957,"2,857,866,857",2.03%,"56,864,226",19
1958,"2,916,108,097",2.04%,"58,241,240",20
1959,"2,970,292,188",1.86%,"54,184,091",20
1960,"3,019,233,434",1.65%,"48,941,246",20
1961,"3,068,370,609",1.63%,"49,137,175",21
1962,"3,126,686,743",1.90%,"58,316,134",21
1963,"3,195,779,247",2.21%,"69,092,504",21
1964,"3,267,212,338",2.24%,"71,433,091",22
1965,"3,337,111,983",2.14%,"69,899,645",22
1966,"3,406,417,036",2.08%,"69,305,053",23
1967,"3,475,448,166",2.03%,"69,031,130",23
1968,"3,546,810,808",2.05%,"71,362,642",24
1969,"3,620,655,275",2.08%,"73,844,467",24
1970,"3,695,390,336",2.06%,"74,735,061",25
1971,"3,770,163,092",2.02%,"74,772,756",25
1972,"3,844,800,885",1.98%,"74,637,793",26
1973,"3,920,251,504",1.96%,"75,450,619",26
1974,"3,995,517,077",1.92%,"75,265,573",27
1975,"4,069,437,231",1.85%,"73,920,154",27
1976,"4,142,505,882",1.80%,"73,068,651",28
1977,"4,215,772,490",1.77%,"73,266,608",28
1978,"4,289,657,708",1.75%,"73,885,218",29
1979,"4,365,582,871",1.77%,"75,925,163",29
1980,"4,444,007,706",1.80%,"78,424,835",30
1981,"4,524,627,658",1.81%,"80,619,952",30
1982,"4,607,984,871",1.84%,"83,357,213",31
1983,"4,691,884,238",1.82%,"83,899,367",32
1984,"4,775,836,074",1.79%,"83,951,836",32
1985,"4,861,730,613",1.80%,"85,894,539",33
1986,"4,950,063,339",1.82%,"88,332,726",33
1987,"5,040,984,495",1.84%,"90,921,156",34
1988,"5,132,293,974",1.81%,"91,309,479",34
1989,"5,223,704,308",1.78%,"91,410,334",35
1990,"5,316,175,862",1.77%,"92,471,554",36
1991,"5,406,245,867",1.69%,"90,070,005",36
1992,"5,492,686,093",1.60%,"86,440,226",37
1993,"5,577,433,523",1.54%,"84,747,430",37
1994,"5,660,727,993",1.49%,"83,294,470",38
1995,"5,743,219,454",1.46%,"82,491,461",39
1996,"5,825,145,298",1.43%,"81,925,844",39
1997,"5,906,481,261",1.40%,"81,335,963",40
1998,"5,987,312,480",1.37%,"80,831,219",40
1999,"6,067,758,458",1.34%,"80,445,978",41
2000,"6,148,898,975",1.34%,"81,140,517",41
2001,"6,230,746,982",1.33%,"81,848,007",42
2002,"6,312,407,360",1.31%,"81,660,378",42
2003,"6,393,898,365",1.29%,"81,491,005",43
2004,"6,475,751,478",1.28%,"81,853,113",43
2005,"6,558,176,119",1.27%,"82,424,641",44
2006,"6,641,416,218",1.27%,"83,240,099",45
2007,"6,725,948,544",1.27%,"84,532,326",45
2008,"6,811,597,272",1.27%,"85,648,728",46
2009,"6,898,305,908",1.27%,"86,708,636",46
2010,"6,985,603,105",1.27%,"87,297,197",47
2011,"7,073,125,425",1.25%,"87,522,320",47
2012,"7,161,697,921",1.25%,"88,572,496",48
2013,"7,250,593,370",1.24%,"88,895,449",49
2014,"7,339,013,419",1.22%,"88,420,049",49
2015,"7,426,597,537",1.19%,"87,584,118",50
2016,"7,513,474,238",1.17%,"86,876,701",50
2017,"7,599,822,404",1.15%,"86,348,166",51
2018,"7,683,789,828",1.10%,"83,967,424",52
2019,"7,764,951,032",1.06%,"81,161,204",52
2020,"7,840,952,880",0.98%,"76,001,848",53
2021,"7,909,295,151",0.87%,"68,342,271",53
2022,"7,975,105,156",0.83%,"65,810,005",54
2023,"8,045,311,447",0.88%,"70,206,291",54
