Year,Population,Yearly Growth %,Number,Density (Pop/km2)
1951.0,,1.75%,"43,808,223",17.0
1952.0,"2,590,270,899",1.85%,"47,140,519",
1953.0,"2,640,278,797",1.93%,"50,007,898",
,"2,691,979,339",1.96%,,18.0
1955.0,"2,746,072,141",2.01%,"54,092,802",18.0
,"2,801,002,631",2.00%,"54,930,490",19.0
,"2,857,866,857",,"56,864,226",19.0
1958.0,"2,916,108,097",2.04%,,20.0
1959.0,"2,970,292,188",1.86%,"54,184,091",
1960.0,"3,019,233,434",1.65%,,20.0
1961.0,,1.63%,"49,137,175",
,"3,126,686,743",1.90%,"58,316,134",21.0
1963.0,"3,195,779,247",2.21%,,21.0
1964.0,"3,267,212,338",,"71,433,091",22.0
1965.0,"3,337,111,983",2.14%,"69,899,645",
1966.0,"3,406,417,036",2.08%,,
1967.0,"3,475,448,166",2.03%,"69,031,130",23.0
1968.0,,2.05%,"71,362,642",
1969.0,"3,620,655,275",,"73,844,467",24.0
1970.0,"3,695,390,336",2.06%,"74,735,061",25.0
,"3,770,163,092",2.02%,"74,772,756",
1972.0,,1.98%,,
1973.0,"3,920,251,504",1.96%,"75,450,619",26.0
,"3,995,517,077",1.92%,,27.0
1975.0,"4,069,437,231",1.85%,"73,920,154",27.0
1976.0,,,,28.0
,"4,215,772,490",1.77%,"73,266,608",28.0
,"4,289,657,708",1.75%,"73,885,218",29.0
1979.0,,1.77%,,29.0
1980.0,"4,444,007,706",1.80%,"78,424,835",
,"4,524,627,658",,"80,619,952",30.0
1982.0,"4,607,984,871",1.84%,"83,357,213",31.0
,"4,691,884,238",,"83,899,367",32.0
,,,"83,951,836",32.0
1985.0,"4,861,730,613",1.80%,"85,894,539",33.0
1986.0,"4,950,063,339",1.82%,"88,332,726",
1987.0,,1.84%,"90,921,156",
1988.0,"5,132,293,974",,"91,309,479",34.0
1989.0,,1.78%,"91,410,334",35.0
1990.0,"5,316,175,862",1.77%,"92,471,554",36.0
1991.0,"5,406,245,867",,"90,070,005",
1992.0,"5,492,686,093",,,37.0
1993.0,"5,577,433,523",,"84,747,430",37.0
1994.0,"5,660,727,993",1.49%,"83,294,470",38.0
,"5,743,219,454",1.46%,"82,491,461",39.0
1996.0,,1.43%,"81,925,844",39.0
1997.0,"5,906,481,261",,"81,335,963",40.0
1998.0,"5,987,312,480",1.37%,,40.0
1999.0,"6,067,758,458",1.34%,,41.0
2000.0,"6,148,898,975",1.34%,"81,140,517",41.0
2001.0,"6,230,746,982",1.33%,"81,848,007",
2002.0,,,"81,660,378",42.0
2003.0,"6,393,898,365",1.29%,"81,491,005",43.0
2004.0,"6,475,751,478",1.28%,,43.0
2005.0,"6,558,176,119",1.27%,"82,424,641",44.0
2006.0,"6,641,416,218",1.27%,"83,240,099",
2007.0,"6,725,948,544",1.27%,"84,532,326",45.0
2008.0,,1.27%,"85,648,728",46.0
2009.0,"6,898,305,908",1.27%,"86,708,636",
,,1.27%,,47.0
2011.0,"7,073,125,425",1.25%,"87,522,320",47.0
2012.0,"7,161,697,921",1.25%,"88,572,496",48.0
2013.0,"7,250,593,370",1.24%,"88,895,449",49.0
2014.0,"7,339,013,419",1.22%,"88,420,049",
,"7,426,597,537",1.19%,"87,584,118",50.0
2016.0,"7,513,474,238",,"86,876,701",
2017.0,,1.15%,"86,348,166",51.0
2018.0,"7,683,789,828",1.10%,"83,967,424",
2019.0,,1.06%,"81,161,204",52.0
,,,"76,001,848",53.0
2021.0,"7,909,295,151",0.87%,"68,342,271",53.0
2022.0,"7,975,105,156",0.83%,,
2023.0,"8,045,311,447",0.88%,"70,206,291",54.0
